GENE_SYMBOL,ES740463,ES740496,ES740562,ES740637,ES740640,ES740691,ES740706,ES740712,ES740724,ES740772,ES740790,ES740871
ADSS,7431,6400,7237,6235,6987,6921,7224,7038,9992,6947,6006,9356
TAS2R8,0,0,0,0,0,0,0,0,0,0,0,1
ABCF2,4185,4006,3990,2700,2749,3599,3834,3112,5096,3472,2946,5476
ACTBL2,3,3,6,3,3,8,7,7,5,3,1,5
MAS1,1,0,1,0,1,0,0,0,0,0,0,0
CECR3,0,0,0,0,0,0,0,0,0,0,0,0
FRMD6,109,32,87,82,126,91,82,127,89,159,160,152
MSH5-C6orf26,79,122,125,150,188,100,173,108,94,86,294,137
GK,475,219,422,421,319,293,226,654,541,535,195,558
FAF2,5427,3042,5977,5267,6959,3881,5557,4808,5221,4844,5694,5150
CCL7,1,0,22,0,53,0,1,91,1,107,0,2
LCE1B,0,0,0,0,0,0,0,0,0,0,0,0
MPP3,16,13,39,28,15,21,23,24,22,24,39,21
FLJ45974,0,2,4,0,1,3,0,0,0,0,0,11
LOC100132146,0,0,0,0,0,0,0,0,0,0,0,0
ZNF562,2091,1516,2306,2020,1950,1745,1653,1303,2449,1315,1716,2397
OMA1,1845,1892,1406,1247,939,1330,1797,1231,2586,1414,1691,2505
LRP2,0,1,1,2,2,3,0,0,0,1,4,0
FFAR1,5,7,5,8,36,8,2,12,5,5,95,14
TSNAXIP1,11,6,18,14,18,15,17,10,18,18,61,13
HSPB2,0,1,0,0,0,0,0,1,0,0,0,0
CAMTA2,10925,7960,13150,11293,12059,11177,11320,10880,13664,11138,11014,14757
ACIN1,16692,10875,22635,17061,23594,12058,16457,17468,17318,20240,25692,19508
RECQL,5094,5616,4848,4369,3765,3934,5334,3917,6510,3818,3402,6768
IQCD,50,15,73,60,31,22,24,72,55,53,33,67
EBLN2,74,94,196,164,200,55,121,115,101,172,228,143
SNORA61,75,32,155,177,279,37,82,23,25,59,475,35
DHRS11,272,284,231,221,270,445,333,338,319,252,340,330
OR52N4,18,44,19,36,36,12,25,14,26,10,53,23
SMURF2,3718,3679,4130,3388,3626,4112,5091,2716,4239,3120,5553,4564
FNDC3B,8398,3858,8734,7843,6579,6013,4883,7289,6923,7514,6213,8109
HAAO,705,182,905,638,453,723,313,1219,666,853,196,993
CSTA,9345,3804,9231,6805,3780,7741,4348,10941,11761,8497,2400,10953
UTP23,2111,1835,2571,2160,3348,3152,2338,2757,3116,2611,2906,2651
NRG2,11,11,17,18,25,16,33,14,29,18,32,16
GPR65,8394,5591,6870,4278,8248,5396,6346,6786,6773,5800,4349,5917
ZNF608,186,32,177,69,117,92,172,165,236,145,401,138
LHX4,37,31,50,63,86,27,46,40,39,82,133,46
PAMR1,0,0,0,0,0,0,0,0,0,0,0,0
ZFP2,54,69,59,54,75,47,98,40,60,68,146,80
GLRA3,6,5,3,2,3,0,9,0,22,2,0,8
KBTBD11,3043,1549,3860,1574,2030,2900,1509,2645,4081,2918,2821,3970
