	Alveolar-Type1	Alveolar-Type2	CD4+T	CD8-CytT	Ciliated	Fibroblast	Mast	Monocyte	NK
IER3IP1	7.1197003117294	10.69203394788582	9.791857624790605	10.05473562639953	6.466873812198505	10.25844154454693	8.451615421983828	9.485281302460054	11.137846993878176
IER5	4.298738585235376	8.372683482360259	9.734230606597645	9.57764389441982	4.379271958972428	7.929469455784785	9.831230688666341	12.367245571409532	11.100797536057957
IFI16	4.378596517810225	8.586144124939695	12.411329951262877	11.972205834598023	6.339649685911313	11.830917853633288	9.785449198591007	10.753306935696568	13.129292838830896
IFI27	10.047795195460898	10.346735660655053	8.398261729925569	7.896038809061829	9.521922507521728	10.434068762121377	7.629802620781756	8.744721242360068	9.481731028139409
IFI27L2	6.952263899665473	10.494576116493386	10.864990857331765	10.875401342769464	7.04931231166335	11.438780678924264	9.816124676158989	11.43738240587366	11.869486273245432
IFI30	3.3728876208142915	6.651970703783497	7.382516387783492	7.248775701625487	4.3697196833758065	6.399625881312813	7.317025793009097	12.056429660777745	8.881290194310154
IFITM1	4.54996026760627	9.051937773297023	11.80841071400062	12.070698913236965	4.511288513527077	11.19433352381262	7.981811563288874	7.746084034903918	13.305485949497443
IFITM2	8.458586574885766	13.183967020555125	13.439413672907934	13.533581232873583	8.228804167292703	13.567178920681313	12.625997353222589	13.053651193662091	15.223264155161981
IFITM3	10.116786449824488	14.597336268642652	10.589939937478832	10.505323495156508	9.634765500213	15.339413600952463	10.982911102072118	12.928247243030404	12.793587459866545
IFNG	5.830750379582234	7.545480620538622	12.438122138023981	13.82057977726372	4.939227047967715	7.329910314473445	9.559351773826963	9.055828874781886	15.105369360942285
IFNGR1	6.019358544184304	8.924755418061507	10.605278193423423	10.737795158863557	6.4920013657007205	10.207502947315215	8.42141128344025	11.212914177328068	11.801623007038064
IFNGR2	5.416472706299957	8.156974161510977	8.03529481237245	6.33191656128657	4.81854628699966	9.346436100343771	7.833665697116731	11.396897143459183	7.160787510270128
