,liver-apap_1,liver-apap_2,liver-apap_3,liver-apap_4,liver-apap_5,liver-ctrl_1,liver-ctrl_2,liver-ctrl_3,liver-ctrl_4,liver-ctrl_5,liver-mda_1,liver-mda_2,liver-mda_3,liver-mda_4,liver-mda_5
Arhgap11a,38.387509616010206,45.7360328441729,43.0790528851299,35.4015809126996,20.754257990905,1.88770272687946,3.23634632874887,4.647835691026651,4.1561888487136605,8.602756654435,8.59686996995698,7.1697223873325004,9.62255712144186,2.89970478150348,11.8010134214763
Arhgap12,43.9603986657743,27.83915824080635,70.73191306599264,38.4614924136526,58.46180734198305,21.578527999271003,39.74380856354935,35.93188228990975,52.4226850454087,46.73179886957855,53.972675633504046,66.47145903592221,88.45545892987914,22.928359031062605,52.52235814939574
Arhgap15,2.9696493565507,1.46749263307244,3.7227325731419,7.170808700573419,4.461117560972991,4.09901628049584,2.9864594213273703,5.15960805934683,0.0,2.26444510323608,3.0361904072666097,5.499983603217269,5.38191279124458,1.46192545457717,6.788250021444791
Arhgap17,32.9977198808072,20.241358262016803,44.0663686330283,42.6206168331943,31.9848394066188,23.8829342218301,15.6783719890013,21.3939320239944,28.622940455377897,27.3568552467233,23.8761583876971,55.68420122782911,62.8274169783577,50.1438055357545,29.2318138587392
Arhgap18,63.38964956917279,42.47213516221179,65.19238883281139,74.07696602591491,63.352974930964,23.3449876544955,40.939135712340295,63.4892985180378,68.9021020770023,56.2244225418752,92.41787881900812,83.62736579953429,120.08282886075,54.16260631792439,114.815480545352
Arhgap19,18.7182645736623,19.557854414143,16.864280573595902,11.2329698158009,17.996698841571398,3.5344450097519906,6.925452126984379,3.54786263350565,3.63572963689456,9.83071663131711,4.74918589078994,1.77843292675333,3.13363701111558,2.71605970462613,5.88774665613994
Arhgap20,0.3635275389140625,0.62573132342421,1.2867414629654834,0.0,0.269884967233778,0.4346929911489889,0.15834314085006,0.0,0.158927465996455,0.65563817763132,0.0,0.1697716128555855,0.3295281436225625,0.156564749976921,0.162528012504515
Arhgap21,104.938487904526,92.71410918784348,201.665207892464,75.733763085514,94.8571382672125,36.8498901146235,46.471510007975,45.070060638055104,50.3391253144102,59.274467763454,71.33162069418191,92.5052898210149,127.223452787021,76.6114976664356,97.2103681427237
Arhgap22,11.854033043566348,16.8418511686712,33.9363042981765,9.1920895133631,10.11328681956365,1.9522635682841551,0.7770473123784101,3.2473817600646853,2.038924491786955,1.6017345698684902,3.108419086424805,3.8471847892350297,2.43393598766378,3.264944792344435,2.964123902523815
Arhgap23,21.9190747798736,31.407120733114,23.1187168238136,17.1781921156771,21.4643001058144,30.4234570647048,22.818471234213906,30.9794814341194,35.9360455939733,38.2272674037319,31.3412251688346,46.345382848983405,33.2427765902274,31.9574216405415,29.8125236605767
Arhgap24,3.84533884684123,6.295658109518895,3.76201345319885,2.0397203103089603,14.631395421078953,1.56589272554926,0.0,7.231021338246821,1.89625602780392,8.00089562733099,4.755990525577429,8.8068709243753,3.650405800029061,3.7207707474856098,4.13501452233341
Arhgap25,33.163013937163704,30.4157002224574,32.1792463648598,20.7996656551766,18.6719200072901,15.6564136033624,15.462686864486198,11.0403978199932,9.50330110315006,26.1171790892329,26.704640504902702,33.9101610767407,39.83567576197029,23.5624226755546,40.5214914337548
Arhgap26,6.801650840998259,5.8065570436166505,7.9423609993748,7.684630497026185,10.574833978885,5.38590612532087,7.462746199378159,10.557880521469947,7.927079284100131,14.053084780003577,11.108642167414802,10.791450810615402,14.630339066998348,9.449173773384553,16.07841147987535
Arhgap27,34.729949013756105,22.3886186565836,24.4080148926123,22.383065854323696,19.3937763728178,14.894289284353098,17.0639321384552,9.82076945662455,12.1173378731732,23.1624981284194,17.777590959003998,28.5477007579672,24.9140895023904,18.7577663183975,26.4701108223419
Arhgap28,1.67368221213391,1.8583925102254035,2.799611508841445,1.61531092601125,0.83583279386076,0.2556421733646234,1.68980084062375,1.37501964982175,2.52510288146618,0.5716939351737049,1.1302856520693798,1.78740679195126,1.156351334415625,1.1015450417539951,2.00512516497541
