symbol,LIB222,LIB272,LIB341,LIB259,LIB315
PDLIM7,4059.44391117808,5783.429368757371,5133.294974024791,5442.949974017821,3241.80457076505
PDP1,117.582670648307,19.8833308686778,193.664942517436,67.3385837011399,204.401460937151
PDP2,21.107465081971,3.53736299287845,42.6303940817374,9.62715738884421,23.9019738832555
PDPK1,210.930595607122,31.8296151533115,358.23417686918,178.96548248891895,412.100724397198
PDPK2P,6.70174142088317,2.65675792383453,1.04983405295754,0.7358288601794781,8.87817588049924
PDPR,119.53749013102,16.2679442637447,134.834679412486,86.6659328494487,114.568596145071
PDPR2P,38.604828151603705,11.8039319070424,41.7391542696374,18.1863916642131,47.05554260425421
PDRG1,180.313775275172,64.795257482194,305.74728010739,116.479138726316,197.175550676406
PDS5A,166.848890946063,23.4612390673868,356.16727616840103,78.3606975688327,263.290640202528
PDS5B,140.532014748708,31.738721558081107,321.536632357542,132.281579436496,293.62080573669897
PDSS1,60.220856526552886,56.078175705853006,153.352598693996,45.95368056509111,79.12597732628029
PDSS2,53.635202005174,13.6097692669886,163.08256877883198,36.8053377222226,98.7614877626253
PDXDC1,256.231792319464,31.29813878152611,479.27650093467,121.79535905132,312.110642462245
PDXDC2P,11.774770209570804,4.46601106403193,26.5551084132308,5.25795950445698,4.26017355964124
PDXK,673.814530839693,451.855284966064,836.088639636145,841.144468071089,899.832388092045
PDXP,85.8486082096843,14.9855990214363,244.858887883958,54.0434189953,109.385326775004
PDXP-DT,6.203335041603942,9.66342210867194,16.8919502272769,6.555865123591151,3.91192590577641
PDZD11,161.719391925234,65.8209221726196,376.097151339114,145.441312357149,220.74882309617695
PDZD2,5.6000474882599605,4.96103482118563,9.10436470370392,0.645384429010842,9.36950018518273
PDZD3,13.2126727057924,4.56116645319811,20.030731563341,6.9484930512912095,12.2686445332792
PDZD4,338.860990090304,20.7613132952997,365.2988966316591,278.075214446272,268.397077868219
PDZD7,11.5222457827525,3.5405461193664505,15.9179349086645,4.78906975365895,11.314739245968
PDZD8,54.093643137072704,18.792671176939105,97.5114286969303,83.933871598604,92.99876252788192
PDZK1IP1,1312.89878330041,165.183378764344,3205.35616697098,340.155384072184,1801.25255217478
PEA15,537.645609732489,92.1585231659997,967.55103214243,377.083546816865,735.5675754784538
PEAK1,20.6564392330807,4.23194022786787,32.2333468435256,12.4284194634696,19.0729495014264
PEAK3,416.66970189948097,451.965488823644,328.481910727351,921.6887417978792,290.847184865646
PEAR1,65.32568087116749,1.47509888515483,57.9883928499216,22.5859245714181,45.8069268430906
PEBP1,1296.13190840804,120.901880398189,2172.28796854423,316.139970795643,1168.16481177019
PEBP1P3,5.7061430759191385,5.12522492700849,36.569533182241,15.0085480101214,6.05573524488641
PECAM1,1545.00770318272,951.0447606264728,2522.40954083849,1773.18925633755,3031.2962875335
PECR,115.422320864839,109.170705668015,251.449572518805,129.580262322164,121.525504017721
PEDS1,317.224611087545,90.21264939092372,415.843207186616,176.711159966557,320.892038187756
PEF1,892.870031798932,501.3557254251309,1414.48869199283,818.3459559022009,1031.2754718615
PEG10,1.4864790399989798,3.0516982621097304,14.5250009182384,4.05231659957743,21.8128902202988
PEG13,17.114123579559,2.59970487598484,25.505476005843395,4.9107431968293485,10.0129154268004
