,B,CD4T,CD8T,Mon,NK,Neu
DGKG,6.133767281168182,5.775529958426063,6.4379071248873645,8.599674287903497,6.83767679171176,6.671529660872439
DHRS9,2.6816595710043973,2.718623548737967,2.114962948806469,4.510077680511374,2.9844513014537903,8.08921841826192
DNAAF1,1.0167767279105757,1.4515301492565778,1.6182064501184028,1.019350591410148,3.818835826778604,0.9037255874951848
DNAH17,2.744694404544259,4.657753376968987,3.0949481443921867,3.0427684541202513,2.5740877394504778,2.8514169216176573
DNAJC22,4.061797457784513,3.828290189466873,3.3264198554310216,7.593338244240336,4.809611994968569,5.505906067612752
DNALI1,0.27707402408227366,0.28992214030900537,0.0,1.2927840403094288,0.0,3.4646569066460815
DNASE2B,3.131231009710495,2.395820047246089,2.648316648505048,4.778933163687769,3.6954963815393356,7.830362379647308
DNTT,3.350508480714069,3.352081207444207,3.40987888471495,6.248823264435632,3.3703081524598515,3.957229473098452
DOCK3,0.2950680605929096,0.31005353146423476,0.3950086351521,3.503570700022116,0.3974290117085749,1.0058433719517812
DOCK4,2.161145045821737,1.6376298873935524,1.7511662540871287,4.189051846404876,1.7986587362932407,2.4479445799267787
DRAM1,6.447971815068726,6.236896909920837,6.531552026884118,10.713592859431463,7.1666055069194705,8.81857486116754
DRAXIN,2.1808421089472616,1.8189169948934674,2.024496636503028,1.3617069361515817,5.390553529846381,0.0
DSC2,3.2205619453344543,3.168902479779203,2.747324863265278,2.2742541608938005,6.8893344797329386,2.9003984761804427
DSE,5.839096658783548,5.8868163031373335,5.5472557495979,8.38439959235508,5.5877387998340655,5.847277349671604
DSP,0.6100955568354095,0.5547291351116733,0.33706761279271363,0.15274533040605515,2.1242596457474963,0.2514156338697598
DUSP13,0.0,0.0,0.0,0.40151571696170474,0.0,3.6096142427584446
DUSP23,5.060240731210724,4.883244458147795,5.000530256267913,4.715790615598852,6.717505772944342,4.719018493178537
DZIP1,1.7233560366974683,4.090497530519744,1.8990886829005245,0.5634588524629109,1.0095708918340502,0.0
EDARADD,4.292540495005234,4.7141894267823625,3.8862506406914186,2.932119681442358,6.407719037798518,2.4125278058903667
EDIL3,1.756645272212952,1.6523036834228586,1.971269844894131,5.880443008116787,2.0625728968184953,4.113399072415227
EFHD1,3.1943320580390098,2.82565883444273,2.361964535144204,0.877553950454774,6.5614078239074445,1.355011898454777
EFNA5,1.7071428600106835,0.0,0.0,0.0,0.0,0.0
EFNB2,4.379675947777968,3.5342516574101426,3.8659245947865637,9.371712257683914,3.897947272230032,6.372589836811516
ENO3,8.12320895696021,8.636349118025652,8.993256843183001,11.14539511874912,8.265450533217981,8.690639059321626
ENTPD1,7.235013420658294,6.369550957897964,6.349136915804493,9.03545530935126,6.784747566026413,11.180168035532436
EOMES,6.880369741011966,6.679590445977454,7.590269105033849,4.616195835265373,9.519787731094102,5.017236518134631
EPHA1,3.731634593273644,3.0044425983360443,3.5424319052818847,3.3311197145606775,3.8360692693901854,6.179920447534393
EPHB4,1.7418051406050996,1.620749428283291,2.2959595720142403,0.5666694306043121,4.518740164417881,1.1260040112249161
EXOC2,0.0,2.1276960664375046,0.0,0.0,0.0,0.0
